"variable","n_missing","pct_missing"
"ef_carb",45,24.5
"ef_crop",45,24.5
"ef_fg",45,24.5
"ef_for",45,24.5
"ef_gl",45,24.5
"gol_mt",45,24.5
"opri_reprlset",45,24.5
"pei_peii_1",45,24.5
"br_int",44,23.9
"br_presf",44,23.9
"fe_lmin",44,23.9
"opri_oeapsnt",44,23.9
"opri_tdurpsnt",44,23.9
"wdi_eduprs",44,23.9
"gol_uptier",43,23.4
"opri_reprpef",43,23.4
"opri_reprpem",43,23.4
"wdi_gnicapcon2015",43,23.4
"wdi_gnicon2015",43,23.4
"ohi_ohi",42,22.8
"opri_reprpet",42,22.8
"opri_tiprepef",42,22.8
"wdi_expmilge",42,22.8
"wdi_unempeduam",42,22.8
"bicc_gmi",40,21.7
"bicc_hw",40,21.7
"bicc_milexp",40,21.7
"bicc_milper",40,21.7
"wdi_expmil",40,21.7
"wdi_gerppf",40,21.7
"wdi_gerppm",40,21.7
"wdi_unempedub",40,21.7
"wdi_unempedubf",40,21.7
"wdi_unempedubm",40,21.7
"wdi_unempeduif",40,21.7
"gol_upseat",39,21.2
"opri_tiprepet",39,21.2
"wdi_gnigr",39,21.2
"wdi_lfpedub",39,21.2
"wdi_lfpedubf",39,21.2
"wdi_lfpedubm",39,21.2
"wdi_unempedua",39,21.2
"wdi_unempeduaf",39,21.2
"wdi_unempeduim",39,21.2
"cbie_board",38,20.7
"cbie_boardref",38,20.7
