"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Bosnia and Herzegovina","BIH","Partly Free",0.998593032360077,8.75260708419605,14.9801608679574,51.0215287060993,110.205284377387,78.8455,12.657,0,0.0632262302228526
"Belarus","BLR","Not Free",0.269800543785095,8.73337159782437,16.037760592221,78.4732787892908,120.024207576094,89.5073,3.574,0.595592685957781,0.0439907438511771
"Belize","BLZ","Free",0.561718821525574,8.74234446714015,12.9060290903408,42.1373251262137,107.840250086037,71.8096,8.763,0.247080332133579,0.0529636131669591
"Bolivia (Plurinational State of)","BOL","Partly Free",0.353639900684357,8.03535703683384,16.3068261266873,70.6352598708131,57.5249335789631,67.3612,3.552,0.816846844733509,-0.654023817139354
"Brazil","BRA","Free",0.106906943023205,9.10853838131546,19.1640761442495,87.349556243881,38.8160659764321,80.5278,9.231,1.2821712287498,0.419157527342268
"Brunei Darussalam","BRN","Not Free",0.464483141899109,10.2593833392223,13.028865554289,74.7772642014221,146.973965879597,98.9704,5.191,2.43127759829225,1.5700024852491
"Bhutan","BTN","Partly Free",0.75,8.11663594890716,13.5682203075218,40.9365143617581,85.5712165226139,86.2903,5.947,0,-0.572744905066038
"Botswana","BWA","Free",0.860574126243591,8.87620744568946,14.7074643339947,66.5889787170477,85.6117077543432,80.3696,23.615,0,0.186826591716262
"Central African Republic (the)","CAF","Not Free",0.941998958587646,5.98874935921028,15.4443665139478,43.2751967457285,45.23357000162,7.50916,5.956,0,-2.70063149476291
"Canada","CAN","Free",0.125686541199684,10.7293651989757,17.4774281354046,82.3500897353968,67.3176215563989,94,5.279,1.34280874121765,2.03998434500253
"Switzerland","CHE","Free",0,11.4142648925634,15.9876552477288,84.9206266284521,138.500698753519,96.4528,4.122,0.000512158882117614,2.72488403859021
"Chile","CHL","Free",0.399369955062866,9.56683572630033,16.7886411264564,88.6395352768685,75.2016177425303,93.5377,8.249,0.0126183766247932,0.877454872327139
"China","CHN","Not Free",0.82772433757782,9.37844453644979,21.0683969060149,65.2176361083984,37.440719876366,75.6113,4.98,0.268941629989246,0.689063682476595
"Côte d'Ivoire","CIV","Partly Free",0.958266496658325,7.70845487484322,17.2297887449653,52.8492549676673,52.8663910413483,38.4133,2.306,0.53072995257542,-0.980925979129978
"Cameroon","CMR","Not Free",0.965590476989746,7.2852747220074,17.1345129814113,54.8458745688318,41.2866025594679,41.775,3.653,1.21241691200384,-1.4041061319658
"Congo (the Democratic Republic of the)","COD","Not Free",0.87935996055603,6.2412747698068,18.4443676607563,44.003287663813,85.8221691879958,29.4996,4.522,0.500676436371818,-2.44810608416639
"Congo (the)","COG","Not Free",0.802269697189331,7.43011552878257,15.6131036451739,63.6422003342807,98.1613366922001,37.4939,20.108,3.56622811297351,-1.25926532519062
"Colombia","COL","Free",0.295448124408722,8.83298533347299,17.7617019967853,78.0464633137335,48.2826551123359,72.7964,10.547,1.48704988715489,0.143604479499794
"Cabo Verde","CPV","Free",1,8.29349139243742,13.161085889553,75.033738060849,96.9941368513357,72.7601,12.246,0,-0.39588946153577
"Costa Rica","CRI","Free",0.229901701211929,9.52414048517972,15.4411692001559,78.4405687613972,82.2275325353143,82.598,11.325,0.00892583959885334,0.834759631206531
"Cuba","CUB","Not Free",0.30086550116539,8.92961160545669,16.2188292790616,77.1056060791016,93.8607755890525,68.25,1.82,0.200897852491752,0.240230751483491
"Cyprus","CYP","Free",0.358374804258347,10.3536248586095,14.1017190452225,66.6694829407584,205.753543745524,89.601,6.806,0,1.66424400463629
"Czechia","CZE","Free",0.496302098035812,9.93437307870814,16.1831451040479,72.6967638379524,144.011494109397,84.5401,2.224,0.0096106338512901,1.24499222473495
"Germany","DEU","Free",0.0140962321311235,10.7103457478313,18.2364911995554,81.7867852780995,88.7857542130501,91.6298,3.12,0.0139373260574159,2.02096489385809
"Djibouti","DJI","Not Free",1,7.99287249408473,13.9439882018861,72.6109938538856,302.285409231545,63.2573,26.307,0,-0.696508359888469
"Denmark","DNK","Free",0.00364321586675942,10.987134160932,15.5909775222025,88.3880239837703,131.995824909071,97.8601,4.434,0.239245313114858,2.29775330695878
"Dominican Republic (the)","DOM","Partly Free",0.327188193798065,9.07086401972484,16.2341646852199,72.4203155643711,54.3781976712844,81.5127,5.504,0,0.381483165751643
"Algeria","DZA","Not Free",0.752612829208374,8.42166570173465,17.6327258153481,74.1795862354514,51.1900893683897,74.8319,12.346,2.73835729691427,-0.267715152238546
"Ecuador","ECU","Free",0.249737650156021,8.71727197629004,16.6960506429671,63.0901835932266,61.880792818786,69.7181,3.761,2.00191920550453,0.0278911223168414
"Egypt","EGY","Not Free",0.588972091674805,8.30146779606599,18.5395143386894,42.6325129008032,36.9831048772713,72.1981,7.344,1.38274170352399,-0.3879130579072
"Spain","ESP","Free",0.219898551702499,10.2471875112007,17.6822454020467,79.9548794567814,78.4657338703054,94.4855,12.917,0.000151482084300707,1.55780665722753
